coach_name,coach_uid,season,week,quarter,team_code
Al Holcomb,3_Holcomb,2018,1,1,ARI
Al Holcomb,3_Holcomb,2018,1,2,ARI
Al Holcomb,3_Holcomb,2018,1,3,ARI
Al Holcomb,3_Holcomb,2018,1,4,ARI
Marquand Manuel,138_Manuel,2018,1,1,ATL
Marquand Manuel,138_Manuel,2018,1,2,ATL
Marquand Manuel,138_Manuel,2018,1,3,ATL
Marquand Manuel,138_Manuel,2018,1,4,ATL
Don Martindale,57_Martindale,2018,1,1,BAL
Don Martindale,57_Martindale,2018,1,2,BAL
Don Martindale,57_Martindale,2018,1,3,BAL
Don Martindale,57_Martindale,2018,1,4,BAL
Leslie Frazier,130_Frazier,2018,1,1,BUF
Leslie Frazier,130_Frazier,2018,1,2,BUF
Leslie Frazier,130_Frazier,2018,1,3,BUF
Leslie Frazier,130_Frazier,2018,1,4,BUF
Eric Washington,67_Washington,2018,1,1,CAR
Eric Washington,67_Washington,2018,1,2,CAR
Eric Washington,67_Washington,2018,1,3,CAR
Eric Washington,67_Washington,2018,1,4,CAR
Vic Fangio,232_Fangio,2018,1,1,CHI
Vic Fangio,232_Fangio,2018,1,2,CHI
Vic Fangio,232_Fangio,2018,1,3,CHI
Vic Fangio,232_Fangio,2018,1,4,CHI
Teryl Austin,219_Austin,2018,1,1,CIN
Teryl Austin,219_Austin,2018,1,2,CIN
Teryl Austin,219_Austin,2018,1,3,CIN
Teryl Austin,219_Austin,2018,1,4,CIN
Gregg Williams,78_Williams,2018,1,1,CLE
Gregg Williams,78_Williams,2018,1,2,CLE
Gregg Williams,78_Williams,2018,1,3,CLE
Gregg Williams,78_Williams,2018,1,4,CLE
Rod Marinelli,196_Marinelli,2018,1,1,DAL
Rod Marinelli,196_Marinelli,2018,1,2,DAL
Rod Marinelli,196_Marinelli,2018,1,3,DAL
Rod Marinelli,196_Marinelli,2018,1,4,DAL
Joe Woods,102_Woods,2018,1,1,DEN
Joe Woods,102_Woods,2018,1,2,DEN
Joe Woods,102_Woods,2018,1,3,DEN
Joe Woods,102_Woods,2018,1,4,DEN
Paul Pasqualoni,180_Pasqualoni,2018,1,1,DET
Paul Pasqualoni,180_Pasqualoni,2018,1,2,DET
Paul Pasqualoni,180_Pasqualoni,2018,1,3,DET
Paul Pasqualoni,180_Pasqualoni,2018,1,4,DET
Mike Pettine,164_Pettine,2018,1,1,GB
Mike Pettine,164_Pettine,2018,1,2,GB
Mike Pettine,164_Pettine,2018,1,3,GB
Mike Pettine,164_Pettine,2018,1,4,GB
Romeo Crennel,197_Crennel,2018,1,1,HOU
Romeo Crennel,197_Crennel,2018,1,2,HOU
Romeo Crennel,197_Crennel,2018,1,3,HOU
Romeo Crennel,197_Crennel,2018,1,4,HOU
Matt Eberflus,146_Eberflus,2018,1,1,IND
Matt Eberflus,146_Eberflus,2018,1,2,IND
Matt Eberflus,146_Eberflus,2018,1,3,IND
Matt Eberflus,146_Eberflus,2018,1,4,IND
Todd Wash,227_Wash,2018,1,1,JAX
Todd Wash,227_Wash,2018,1,2,JAX
Todd Wash,227_Wash,2018,1,3,JAX
Todd Wash,227_Wash,2018,1,4,JAX
Bob Sutton,20_Sutton,2018,1,1,KC
Bob Sutton,20_Sutton,2018,1,2,KC
Bob Sutton,20_Sutton,2018,1,3,KC
Bob Sutton,20_Sutton,2018,1,4,KC
Gus Bradley,79_Bradley,2018,1,1,LAC
Gus Bradley,79_Bradley,2018,1,2,LAC
Gus Bradley,79_Bradley,2018,1,3,LAC
Gus Bradley,79_Bradley,2018,1,4,LAC
Wade Phillips,233_Phillips,2018,1,1,LA
Wade Phillips,233_Phillips,2018,1,2,LA
Wade Phillips,233_Phillips,2018,1,3,LA
Wade Phillips,233_Phillips,2018,1,4,LA
Matt Burke,143_Burke,2018,1,1,MIA
Matt Burke,143_Burke,2018,1,2,MIA
Matt Burke,143_Burke,2018,1,3,MIA
Matt Burke,143_Burke,2018,1,4,MIA
George Edwards,72_Edwards,2018,1,1,MIN
George Edwards,72_Edwards,2018,1,2,MIN
George Edwards,72_Edwards,2018,1,3,MIN
George Edwards,72_Edwards,2018,1,4,MIN
Brian Flores,28_Flores,2018,1,1,NE
Brian Flores,28_Flores,2018,1,2,NE
Brian Flores,28_Flores,2018,1,3,NE
Brian Flores,28_Flores,2018,1,4,NE
Dennis Allen,54_Allen,2018,1,1,NO
Dennis Allen,54_Allen,2018,1,2,NO
Dennis Allen,54_Allen,2018,1,3,NO
Dennis Allen,54_Allen,2018,1,4,NO
James Bettcher,83_Bettcher,2018,1,1,NYG
James Bettcher,83_Bettcher,2018,1,2,NYG
James Bettcher,83_Bettcher,2018,1,3,NYG
James Bettcher,83_Bettcher,2018,1,4,NYG
Kacy Rodgers,115_Rodgers,2018,1,1,NYJ
Kacy Rodgers,115_Rodgers,2018,1,2,NYJ
Kacy Rodgers,115_Rodgers,2018,1,3,NYJ
Kacy Rodgers,115_Rodgers,2018,1,4,NYJ
Paul Guenther,179_Guenther,2018,1,1,LV
Paul Guenther,179_Guenther,2018,1,2,LV
Paul Guenther,179_Guenther,2018,1,3,LV
Paul Guenther,179_Guenther,2018,1,4,LV
Jim Schwartz,93_Schwartz,2018,1,1,PHI
Jim Schwartz,93_Schwartz,2018,1,2,PHI
Jim Schwartz,93_Schwartz,2018,1,3,PHI
Jim Schwartz,93_Schwartz,2018,1,4,PHI
Keith Butler,116_Butler,2018,1,1,PIT
Keith Butler,116_Butler,2018,1,2,PIT
Keith Butler,116_Butler,2018,1,3,PIT
Keith Butler,116_Butler,2018,1,4,PIT
Robert Saleh,195_Saleh,2018,1,1,SF
Robert Saleh,195_Saleh,2018,1,2,SF
Robert Saleh,195_Saleh,2018,1,3,SF
Robert Saleh,195_Saleh,2018,1,4,SF
Ken Norton,119_Norton,2018,1,1,SEA
Ken Norton,119_Norton,2018,1,2,SEA
Ken Norton,119_Norton,2018,1,3,SEA
Ken Norton,119_Norton,2018,1,4,SEA
Mark Duffner,136_Duffner,2018,1,1,TB
Mark Duffner,136_Duffner,2018,1,2,TB
Mark Duffner,136_Duffner,2018,1,3,TB
Mark Duffner,136_Duffner,2018,1,4,TB
Dean Pees,52_Pees,2018,1,1,TEN
Dean Pees,52_Pees,2018,1,2,TEN
Dean Pees,52_Pees,2018,1,3,TEN
Dean Pees,52_Pees,2018,1,4,TEN
Greg Manusky,75_Manusky,2018,1,1,WAS
Greg Manusky,75_Manusky,2018,1,2,WAS
Greg Manusky,75_Manusky,2018,1,3,WAS
Greg Manusky,75_Manusky,2018,1,4,WAS
Al Holcomb,3_Holcomb,2018,2,1,ARI
Al Holcomb,3_Holcomb,2018,2,2,ARI
Al Holcomb,3_Holcomb,2018,2,3,ARI
Al Holcomb,3_Holcomb,2018,2,4,ARI
Marquand Manuel,138_Manuel,2018,2,1,ATL
Marquand Manuel,138_Manuel,2018,2,2,ATL
Marquand Manuel,138_Manuel,2018,2,3,ATL
Marquand Manuel,138_Manuel,2018,2,4,ATL
Don Martindale,57_Martindale,2018,2,1,BAL
Don Martindale,57_Martindale,2018,2,2,BAL
Don Martindale,57_Martindale,2018,2,3,BAL
Don Martindale,57_Martindale,2018,2,4,BAL
Leslie Frazier,130_Frazier,2018,2,1,BUF
Leslie Frazier,130_Frazier,2018,2,2,BUF
Leslie Frazier,130_Frazier,2018,2,3,BUF
Leslie Frazier,130_Frazier,2018,2,4,BUF
Eric Washington,67_Washington,2018,2,1,CAR
Eric Washington,67_Washington,2018,2,2,CAR
Eric Washington,67_Washington,2018,2,3,CAR
Eric Washington,67_Washington,2018,2,4,CAR
Vic Fangio,232_Fangio,2018,2,1,CHI
Vic Fangio,232_Fangio,2018,2,2,CHI
Vic Fangio,232_Fangio,2018,2,3,CHI
Vic Fangio,232_Fangio,2018,2,4,CHI
Teryl Austin,219_Austin,2018,2,1,CIN
Teryl Austin,219_Austin,2018,2,2,CIN
Teryl Austin,219_Austin,2018,2,3,CIN
Teryl Austin,219_Austin,2018,2,4,CIN
Gregg Williams,78_Williams,2018,2,1,CLE
Gregg Williams,78_Williams,2018,2,2,CLE
Gregg Williams,78_Williams,2018,2,3,CLE
Gregg Williams,78_Williams,2018,2,4,CLE
Rod Marinelli,196_Marinelli,2018,2,1,DAL
Rod Marinelli,196_Marinelli,2018,2,2,DAL
Rod Marinelli,196_Marinelli,2018,2,3,DAL
Rod Marinelli,196_Marinelli,2018,2,4,DAL
Joe Woods,102_Woods,2018,2,1,DEN
Joe Woods,102_Woods,2018,2,2,DEN
Joe Woods,102_Woods,2018,2,3,DEN
Joe Woods,102_Woods,2018,2,4,DEN
Paul Pasqualoni,180_Pasqualoni,2018,2,1,DET
Paul Pasqualoni,180_Pasqualoni,2018,2,2,DET
Paul Pasqualoni,180_Pasqualoni,2018,2,3,DET
Paul Pasqualoni,180_Pasqualoni,2018,2,4,DET
Mike Pettine,164_Pettine,2018,2,1,GB
Mike Pettine,164_Pettine,2018,2,2,GB
Mike Pettine,164_Pettine,2018,2,3,GB
Mike Pettine,164_Pettine,2018,2,4,GB
Romeo Crennel,197_Crennel,2018,2,1,HOU
Romeo Crennel,197_Crennel,2018,2,2,HOU
Romeo Crennel,197_Crennel,2018,2,3,HOU
Romeo Crennel,197_Crennel,2018,2,4,HOU
Matt Eberflus,146_Eberflus,2018,2,1,IND
Matt Eberflus,146_Eberflus,2018,2,2,IND
Matt Eberflus,146_Eberflus,2018,2,3,IND
Matt Eberflus,146_Eberflus,2018,2,4,IND
Todd Wash,227_Wash,2018,2,1,JAX
Todd Wash,227_Wash,2018,2,2,JAX
Todd Wash,227_Wash,2018,2,3,JAX
Todd Wash,227_Wash,2018,2,4,JAX
Bob Sutton,20_Sutton,2018,2,1,KC
Bob Sutton,20_Sutton,2018,2,2,KC
Bob Sutton,20_Sutton,2018,2,3,KC
Bob Sutton,20_Sutton,2018,2,4,KC
Gus Bradley,79_Bradley,2018,2,1,LAC
Gus Bradley,79_Bradley,2018,2,2,LAC
Gus Bradley,79_Bradley,2018,2,3,LAC
Gus Bradley,79_Bradley,2018,2,4,LAC
Wade Phillips,233_Phillips,2018,2,1,LA
Wade Phillips,233_Phillips,2018,2,2,LA
Wade Phillips,233_Phillips,2018,2,3,LA
Wade Phillips,233_Phillips,2018,2,4,LA
Matt Burke,143_Burke,2018,2,1,MIA
Matt Burke,143_Burke,2018,2,2,MIA
Matt Burke,143_Burke,2018,2,3,MIA
Matt Burke,143_Burke,2018,2,4,MIA
George Edwards,72_Edwards,2018,2,1,MIN
George Edwards,72_Edwards,2018,2,2,MIN
George Edwards,72_Edwards,2018,2,3,MIN
George Edwards,72_Edwards,2018,2,4,MIN
Brian Flores,28_Flores,2018,2,1,NE
Brian Flores,28_Flores,2018,2,2,NE
Brian Flores,28_Flores,2018,2,3,NE
Brian Flores,28_Flores,2018,2,4,NE
Dennis Allen,54_Allen,2018,2,1,NO
Dennis Allen,54_Allen,2018,2,2,NO
Dennis Allen,54_Allen,2018,2,3,NO
Dennis Allen,54_Allen,2018,2,4,NO
James Bettcher,83_Bettcher,2018,2,1,NYG
James Bettcher,83_Bettcher,2018,2,2,NYG
James Bettcher,83_Bettcher,2018,2,3,NYG
James Bettcher,83_Bettcher,2018,2,4,NYG
Kacy Rodgers,115_Rodgers,2018,2,1,NYJ
Kacy Rodgers,115_Rodgers,2018,2,2,NYJ
Kacy Rodgers,115_Rodgers,2018,2,3,NYJ
Kacy Rodgers,115_Rodgers,2018,2,4,NYJ
Paul Guenther,179_Guenther,2018,2,1,LV
Paul Guenther,179_Guenther,2018,2,2,LV
Paul Guenther,179_Guenther,2018,2,3,LV
Paul Guenther,179_Guenther,2018,2,4,LV
Jim Schwartz,93_Schwartz,2018,2,1,PHI
Jim Schwartz,93_Schwartz,2018,2,2,PHI
Jim Schwartz,93_Schwartz,2018,2,3,PHI
Jim Schwartz,93_Schwartz,2018,2,4,PHI
Keith Butler,116_Butler,2018,2,1,PIT
Keith Butler,116_Butler,2018,2,2,PIT
Keith Butler,116_Butler,2018,2,3,PIT
Keith Butler,116_Butler,2018,2,4,PIT
Robert Saleh,195_Saleh,2018,2,1,SF
Robert Saleh,195_Saleh,2018,2,2,SF
Robert Saleh,195_Saleh,2018,2,3,SF
Robert Saleh,195_Saleh,2018,2,4,SF
Ken Norton,119_Norton,2018,2,1,SEA
Ken Norton,119_Norton,2018,2,2,SEA
Ken Norton,119_Norton,2018,2,3,SEA
Ken Norton,119_Norton,2018,2,4,SEA
Mark Duffner,136_Duffner,2018,2,1,TB
Mark Duffner,136_Duffner,2018,2,2,TB
Mark Duffner,136_Duffner,2018,2,3,TB
Mark Duffner,136_Duffner,2018,2,4,TB
Dean Pees,52_Pees,2018,2,1,TEN
Dean Pees,52_Pees,2018,2,2,TEN
Dean Pees,52_Pees,2018,2,3,TEN
Dean Pees,52_Pees,2018,2,4,TEN
Greg Manusky,75_Manusky,2018,2,1,WAS
Greg Manusky,75_Manusky,2018,2,2,WAS
Greg Manusky,75_Manusky,2018,2,3,WAS
Greg Manusky,75_Manusky,2018,2,4,WAS
Al Holcomb,3_Holcomb,2018,3,1,ARI
Al Holcomb,3_Holcomb,2018,3,2,ARI
Al Holcomb,3_Holcomb,2018,3,3,ARI
Al Holcomb,3_Holcomb,2018,3,4,ARI
Marquand Manuel,138_Manuel,2018,3,1,ATL
Marquand Manuel,138_Manuel,2018,3,2,ATL
Marquand Manuel,138_Manuel,2018,3,3,ATL
Marquand Manuel,138_Manuel,2018,3,4,ATL
Don Martindale,57_Martindale,2018,3,1,BAL
Don Martindale,57_Martindale,2018,3,2,BAL
Don Martindale,57_Martindale,2018,3,3,BAL
Don Martindale,57_Martindale,2018,3,4,BAL
Leslie Frazier,130_Frazier,2018,3,1,BUF
Leslie Frazier,130_Frazier,2018,3,2,BUF
Leslie Frazier,130_Frazier,2018,3,3,BUF
Leslie Frazier,130_Frazier,2018,3,4,BUF
Eric Washington,67_Washington,2018,3,1,CAR
Eric Washington,67_Washington,2018,3,2,CAR
Eric Washington,67_Washington,2018,3,3,CAR
Eric Washington,67_Washington,2018,3,4,CAR
Vic Fangio,232_Fangio,2018,3,1,CHI
Vic Fangio,232_Fangio,2018,3,2,CHI
Vic Fangio,232_Fangio,2018,3,3,CHI
Vic Fangio,232_Fangio,2018,3,4,CHI
Teryl Austin,219_Austin,2018,3,1,CIN
Teryl Austin,219_Austin,2018,3,2,CIN
Teryl Austin,219_Austin,2018,3,3,CIN
Teryl Austin,219_Austin,2018,3,4,CIN
Gregg Williams,78_Williams,2018,3,1,CLE
Gregg Williams,78_Williams,2018,3,2,CLE
Gregg Williams,78_Williams,2018,3,3,CLE
Gregg Williams,78_Williams,2018,3,4,CLE
Rod Marinelli,196_Marinelli,2018,3,1,DAL
Rod Marinelli,196_Marinelli,2018,3,2,DAL
Rod Marinelli,196_Marinelli,2018,3,3,DAL
Rod Marinelli,196_Marinelli,2018,3,4,DAL
Joe Woods,102_Woods,2018,3,1,DEN
Joe Woods,102_Woods,2018,3,2,DEN
Joe Woods,102_Woods,2018,3,3,DEN
Joe Woods,102_Woods,2018,3,4,DEN
Paul Pasqualoni,180_Pasqualoni,2018,3,1,DET
Paul Pasqualoni,180_Pasqualoni,2018,3,2,DET
Paul Pasqualoni,180_Pasqualoni,2018,3,3,DET
Paul Pasqualoni,180_Pasqualoni,2018,3,4,DET
Mike Pettine,164_Pettine,2018,3,1,GB
Mike Pettine,164_Pettine,2018,3,2,GB
Mike Pettine,164_Pettine,2018,3,3,GB
Mike Pettine,164_Pettine,2018,3,4,GB
Romeo Crennel,197_Crennel,2018,3,1,HOU
Romeo Crennel,197_Crennel,2018,3,2,HOU
Romeo Crennel,197_Crennel,2018,3,3,HOU
Romeo Crennel,197_Crennel,2018,3,4,HOU
Matt Eberflus,146_Eberflus,2018,3,1,IND
Matt Eberflus,146_Eberflus,2018,3,2,IND
Matt Eberflus,146_Eberflus,2018,3,3,IND
Matt Eberflus,146_Eberflus,2018,3,4,IND
Todd Wash,227_Wash,2018,3,1,JAX
Todd Wash,227_Wash,2018,3,2,JAX
Todd Wash,227_Wash,2018,3,3,JAX
Todd Wash,227_Wash,2018,3,4,JAX
Bob Sutton,20_Sutton,2018,3,1,KC
Bob Sutton,20_Sutton,2018,3,2,KC
Bob Sutton,20_Sutton,2018,3,3,KC
Bob Sutton,20_Sutton,2018,3,4,KC
Gus Bradley,79_Bradley,2018,3,1,LAC
Gus Bradley,79_Bradley,2018,3,2,LAC
Gus Bradley,79_Bradley,2018,3,3,LAC
Gus Bradley,79_Bradley,2018,3,4,LAC
Wade Phillips,233_Phillips,2018,3,1,LA
Wade Phillips,233_Phillips,2018,3,2,LA
Wade Phillips,233_Phillips,2018,3,3,LA
Wade Phillips,233_Phillips,2018,3,4,LA
Matt Burke,143_Burke,2018,3,1,MIA
Matt Burke,143_Burke,2018,3,2,MIA
Matt Burke,143_Burke,2018,3,3,MIA
Matt Burke,143_Burke,2018,3,4,MIA
George Edwards,72_Edwards,2018,3,1,MIN
George Edwards,72_Edwards,2018,3,2,MIN
George Edwards,72_Edwards,2018,3,3,MIN
George Edwards,72_Edwards,2018,3,4,MIN
Brian Flores,28_Flores,2018,3,1,NE
Brian Flores,28_Flores,2018,3,2,NE
Brian Flores,28_Flores,2018,3,3,NE
Brian Flores,28_Flores,2018,3,4,NE
Dennis Allen,54_Allen,2018,3,1,NO
Dennis Allen,54_Allen,2018,3,2,NO
Dennis Allen,54_Allen,2018,3,3,NO
Dennis Allen,54_Allen,2018,3,4,NO
James Bettcher,83_Bettcher,2018,3,1,NYG
James Bettcher,83_Bettcher,2018,3,2,NYG
James Bettcher,83_Bettcher,2018,3,3,NYG
James Bettcher,83_Bettcher,2018,3,4,NYG
Kacy Rodgers,115_Rodgers,2018,3,1,NYJ
Kacy Rodgers,115_Rodgers,2018,3,2,NYJ
Kacy Rodgers,115_Rodgers,2018,3,3,NYJ
Kacy Rodgers,115_Rodgers,2018,3,4,NYJ
Paul Guenther,179_Guenther,2018,3,1,LV
Paul Guenther,179_Guenther,2018,3,2,LV
Paul Guenther,179_Guenther,2018,3,3,LV
Paul Guenther,179_Guenther,2018,3,4,LV
Jim Schwartz,93_Schwartz,2018,3,1,PHI
Jim Schwartz,93_Schwartz,2018,3,2,PHI
Jim Schwartz,93_Schwartz,2018,3,3,PHI
Jim Schwartz,93_Schwartz,2018,3,4,PHI
Keith Butler,116_Butler,2018,3,1,PIT
Keith Butler,116_Butler,2018,3,2,PIT
Keith Butler,116_Butler,2018,3,3,PIT
Keith Butler,116_Butler,2018,3,4,PIT
Robert Saleh,195_Saleh,2018,3,1,SF
Robert Saleh,195_Saleh,2018,3,2,SF
Robert Saleh,195_Saleh,2018,3,3,SF
Robert Saleh,195_Saleh,2018,3,4,SF
Ken Norton,119_Norton,2018,3,1,SEA
Ken Norton,119_Norton,2018,3,2,SEA
Ken Norton,119_Norton,2018,3,3,SEA
Ken Norton,119_Norton,2018,3,4,SEA
Mark Duffner,136_Duffner,2018,3,1,TB
Mark Duffner,136_Duffner,2018,3,2,TB
Mark Duffner,136_Duffner,2018,3,3,TB
Mark Duffner,136_Duffner,2018,3,4,TB
Dean Pees,52_Pees,2018,3,1,TEN
Dean Pees,52_Pees,2018,3,2,TEN
Dean Pees,52_Pees,2018,3,3,TEN
Dean Pees,52_Pees,2018,3,4,TEN
Greg Manusky,75_Manusky,2018,3,1,WAS
Greg Manusky,75_Manusky,2018,3,2,WAS
Greg Manusky,75_Manusky,2018,3,3,WAS
Greg Manusky,75_Manusky,2018,3,4,WAS
Al Holcomb,3_Holcomb,2018,4,1,ARI
Al Holcomb,3_Holcomb,2018,4,2,ARI
Al Holcomb,3_Holcomb,2018,4,3,ARI
Al Holcomb,3_Holcomb,2018,4,4,ARI
Marquand Manuel,138_Manuel,2018,4,1,ATL
Marquand Manuel,138_Manuel,2018,4,2,ATL
Marquand Manuel,138_Manuel,2018,4,3,ATL
Marquand Manuel,138_Manuel,2018,4,4,ATL
Don Martindale,57_Martindale,2018,4,1,BAL
Don Martindale,57_Martindale,2018,4,2,BAL
Don Martindale,57_Martindale,2018,4,3,BAL
Don Martindale,57_Martindale,2018,4,4,BAL
Leslie Frazier,130_Frazier,2018,4,1,BUF
Leslie Frazier,130_Frazier,2018,4,2,BUF
Leslie Frazier,130_Frazier,2018,4,3,BUF
Leslie Frazier,130_Frazier,2018,4,4,BUF
Eric Washington,67_Washington,2018,4,1,CAR
Eric Washington,67_Washington,2018,4,2,CAR
Eric Washington,67_Washington,2018,4,3,CAR
Eric Washington,67_Washington,2018,4,4,CAR
Vic Fangio,232_Fangio,2018,4,1,CHI
Vic Fangio,232_Fangio,2018,4,2,CHI
Vic Fangio,232_Fangio,2018,4,3,CHI
Vic Fangio,232_Fangio,2018,4,4,CHI
Teryl Austin,219_Austin,2018,4,1,CIN
Teryl Austin,219_Austin,2018,4,2,CIN
Teryl Austin,219_Austin,2018,4,3,CIN
Teryl Austin,219_Austin,2018,4,4,CIN
Gregg Williams,78_Williams,2018,4,1,CLE
Gregg Williams,78_Williams,2018,4,2,CLE
Gregg Williams,78_Williams,2018,4,3,CLE
Gregg Williams,78_Williams,2018,4,4,CLE
Rod Marinelli,196_Marinelli,2018,4,1,DAL
Rod Marinelli,196_Marinelli,2018,4,2,DAL
Rod Marinelli,196_Marinelli,2018,4,3,DAL
Rod Marinelli,196_Marinelli,2018,4,4,DAL
Joe Woods,102_Woods,2018,4,1,DEN
Joe Woods,102_Woods,2018,4,2,DEN
Joe Woods,102_Woods,2018,4,3,DEN
Joe Woods,102_Woods,2018,4,4,DEN
Paul Pasqualoni,180_Pasqualoni,2018,4,1,DET
Paul Pasqualoni,180_Pasqualoni,2018,4,2,DET
Paul Pasqualoni,180_Pasqualoni,2018,4,3,DET
Paul Pasqualoni,180_Pasqualoni,2018,4,4,DET
Mike Pettine,164_Pettine,2018,4,1,GB
Mike Pettine,164_Pettine,2018,4,2,GB
Mike Pettine,164_Pettine,2018,4,3,GB
Mike Pettine,164_Pettine,2018,4,4,GB
Romeo Crennel,197_Crennel,2018,4,1,HOU
Romeo Crennel,197_Crennel,2018,4,2,HOU
Romeo Crennel,197_Crennel,2018,4,3,HOU
Romeo Crennel,197_Crennel,2018,4,4,HOU
Matt Eberflus,146_Eberflus,2018,4,1,IND
Matt Eberflus,146_Eberflus,2018,4,2,IND
Matt Eberflus,146_Eberflus,2018,4,3,IND
Matt Eberflus,146_Eberflus,2018,4,4,IND
Todd Wash,227_Wash,2018,4,1,JAX
Todd Wash,227_Wash,2018,4,2,JAX
Todd Wash,227_Wash,2018,4,3,JAX
Todd Wash,227_Wash,2018,4,4,JAX
Bob Sutton,20_Sutton,2018,4,1,KC
Bob Sutton,20_Sutton,2018,4,2,KC
Bob Sutton,20_Sutton,2018,4,3,KC
Bob Sutton,20_Sutton,2018,4,4,KC
Gus Bradley,79_Bradley,2018,4,1,LAC
Gus Bradley,79_Bradley,2018,4,2,LAC
Gus Bradley,79_Bradley,2018,4,3,LAC
Gus Bradley,79_Bradley,2018,4,4,LAC
Wade Phillips,233_Phillips,2018,4,1,LA
Wade Phillips,233_Phillips,2018,4,2,LA
Wade Phillips,233_Phillips,2018,4,3,LA
Wade Phillips,233_Phillips,2018,4,4,LA
Matt Burke,143_Burke,2018,4,1,MIA
Matt Burke,143_Burke,2018,4,2,MIA
Matt Burke,143_Burke,2018,4,3,MIA
Matt Burke,143_Burke,2018,4,4,MIA
George Edwards,72_Edwards,2018,4,1,MIN
George Edwards,72_Edwards,2018,4,2,MIN
George Edwards,72_Edwards,2018,4,3,MIN
George Edwards,72_Edwards,2018,4,4,MIN
Brian Flores,28_Flores,2018,4,1,NE
Brian Flores,28_Flores,2018,4,2,NE
Brian Flores,28_Flores,2018,4,3,NE
Brian Flores,28_Flores,2018,4,4,NE
Dennis Allen,54_Allen,2018,4,1,NO
Dennis Allen,54_Allen,2018,4,2,NO
Dennis Allen,54_Allen,2018,4,3,NO
Dennis Allen,54_Allen,2018,4,4,NO
James Bettcher,83_Bettcher,2018,4,1,NYG
James Bettcher,83_Bettcher,2018,4,2,NYG
James Bettcher,83_Bettcher,2018,4,3,NYG
James Bettcher,83_Bettcher,2018,4,4,NYG
Kacy Rodgers,115_Rodgers,2018,4,1,NYJ
Kacy Rodgers,115_Rodgers,2018,4,2,NYJ
Kacy Rodgers,115_Rodgers,2018,4,3,NYJ
Kacy Rodgers,115_Rodgers,2018,4,4,NYJ
Paul Guenther,179_Guenther,2018,4,1,LV
Paul Guenther,179_Guenther,2018,4,2,LV
Paul Guenther,179_Guenther,2018,4,3,LV
Paul Guenther,179_Guenther,2018,4,4,LV
Jim Schwartz,93_Schwartz,2018,4,1,PHI
Jim Schwartz,93_Schwartz,2018,4,2,PHI
Jim Schwartz,93_Schwartz,2018,4,3,PHI
Jim Schwartz,93_Schwartz,2018,4,4,PHI
Keith Butler,116_Butler,2018,4,1,PIT
Keith Butler,116_Butler,2018,4,2,PIT
Keith Butler,116_Butler,2018,4,3,PIT
Keith Butler,116_Butler,2018,4,4,PIT
Robert Saleh,195_Saleh,2018,4,1,SF
Robert Saleh,195_Saleh,2018,4,2,SF
Robert Saleh,195_Saleh,2018,4,3,SF
Robert Saleh,195_Saleh,2018,4,4,SF
Ken Norton,119_Norton,2018,4,1,SEA
Ken Norton,119_Norton,2018,4,2,SEA
Ken Norton,119_Norton,2018,4,3,SEA
Ken Norton,119_Norton,2018,4,4,SEA
Mark Duffner,136_Duffner,2018,4,1,TB
Mark Duffner,136_Duffner,2018,4,2,TB
Mark Duffner,136_Duffner,2018,4,3,TB
Mark Duffner,136_Duffner,2018,4,4,TB
Dean Pees,52_Pees,2018,4,1,TEN
Dean Pees,52_Pees,2018,4,2,TEN
Dean Pees,52_Pees,2018,4,3,TEN
Dean Pees,52_Pees,2018,4,4,TEN
Greg Manusky,75_Manusky,2018,4,1,WAS
Greg Manusky,75_Manusky,2018,4,2,WAS
Greg Manusky,75_Manusky,2018,4,3,WAS
Greg Manusky,75_Manusky,2018,4,4,WAS
Al Holcomb,3_Holcomb,2018,5,1,ARI
Al Holcomb,3_Holcomb,2018,5,2,ARI
Al Holcomb,3_Holcomb,2018,5,3,ARI
Al Holcomb,3_Holcomb,2018,5,4,ARI
Marquand Manuel,138_Manuel,2018,5,1,ATL
Marquand Manuel,138_Manuel,2018,5,2,ATL
Marquand Manuel,138_Manuel,2018,5,3,ATL
Marquand Manuel,138_Manuel,2018,5,4,ATL
Don Martindale,57_Martindale,2018,5,1,BAL
Don Martindale,57_Martindale,2018,5,2,BAL
Don Martindale,57_Martindale,2018,5,3,BAL
Don Martindale,57_Martindale,2018,5,4,BAL
Leslie Frazier,130_Frazier,2018,5,1,BUF
Leslie Frazier,130_Frazier,2018,5,2,BUF
Leslie Frazier,130_Frazier,2018,5,3,BUF
Leslie Frazier,130_Frazier,2018,5,4,BUF
Eric Washington,67_Washington,2018,5,1,CAR
Eric Washington,67_Washington,2018,5,2,CAR
Eric Washington,67_Washington,2018,5,3,CAR
Eric Washington,67_Washington,2018,5,4,CAR
Vic Fangio,232_Fangio,2018,5,1,CHI
Vic Fangio,232_Fangio,2018,5,2,CHI
Vic Fangio,232_Fangio,2018,5,3,CHI
Vic Fangio,232_Fangio,2018,5,4,CHI
Teryl Austin,219_Austin,2018,5,1,CIN
Teryl Austin,219_Austin,2018,5,2,CIN
Teryl Austin,219_Austin,2018,5,3,CIN
Teryl Austin,219_Austin,2018,5,4,CIN
Gregg Williams,78_Williams,2018,5,1,CLE
Gregg Williams,78_Williams,2018,5,2,CLE
Gregg Williams,78_Williams,2018,5,3,CLE
Gregg Williams,78_Williams,2018,5,4,CLE
Rod Marinelli,196_Marinelli,2018,5,1,DAL
